"","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","kilometer","fuelType","notRepairedDamage"
"216",2800,"control","kombi",2006,"manuell",75,150000,"benzin","nein"
"217",4444,"test","limousine",2004,"manuell",150,150000,"diesel","nein"
"218",2377,"control","bus",2004,"manuell",129,150000,"diesel","nein"
"219",2950,"test","kombi",2009,"manuell",103,150000,"benzin","nein"
"220",1500,"control","bus",2002,"manuell",95,150000,"benzin","nein"
"221",2250,"control","limousine",2002,"manuell",125,150000,"benzin","nein"
"222",8390,"control","kleinwagen",2012,"manuell",60,50000,"benzin","nein"
"223",1950,"control","kombi",2000,"automatik",160,150000,"benzin","nein"
"224",2700,"test","kombi",2007,"manuell",80,150000,"benzin","nein"
"225",1650,"control","kleinwagen",2004,"manuell",68,150000,"diesel","ja"
"226",2100,"test","kombi",2005,"manuell",116,150000,"diesel","nein"
"227",14450,"control","limousine",2006,"automatik",326,150000,"diesel","nein"
"228",4500,"control","kleinwagen",2009,"manuell",60,50000,"benzin","nein"
"229",2800,"control","kombi",2003,"automatik",207,150000,"benzin","nein"
"230",3650,"control","kombi",2000,"manuell",116,150000,"diesel","nein"
"231",1850,"control","kombi",2000,"manuell",101,125000,"benzin","nein"
"232",3900,"control","limousine",2004,"manuell",116,150000,"benzin","nein"
"233",15250,"test","kombi",2010,"automatik",120,40000,"benzin","nein"
"234",8900,"control","kombi",2010,"manuell",105,125000,"diesel","nein"
"235",599,"control","kleinwagen",2000,"manuell",60,125000,"benzin","ja"
"236",7200,"control","kleinwagen",2012,"manuell",60,40000,"benzin","nein"
"237",10300,"control","coupe",2005,"manuell",179,80000,"benzin","nein"
"238",800,"test","kleinwagen",2001,"manuell",60,150000,"benzin","nein"
"239",6300,"test","cabrio",2003,"manuell",170,150000,"benzin","nein"
"240",11499,"control","kombi",2008,"automatik",204,125000,"diesel","nein"
"241",58900,"test","bus",2015,"automatik",204,10000,"diesel","nein"
"242",2350,"control","limousine",2003,"manuell",101,150000,"diesel","nein"
"243",7290,"test","cabrio",2002,"manuell",150,150000,"benzin","nein"
"244",3900,"control","kombi",2006,"manuell",131,150000,"diesel","nein"
"245",11500,"test","kombi",2012,"automatik",136,150000,"diesel","nein"
"246",6000,"control","bus",2012,"automatik",200,60000,"diesel","nein"
"247",27490,"control","limousine",2015,"manuell",250,20000,"benzin","nein"
"248",18900,"test","kombi",2014,"manuell",135,30000,"benzin","nein"
"249",6999,"test","kombi",2004,"automatik",204,150000,"diesel","nein"
"250",1999,"test","kombi",2005,"manuell",120,150000,"diesel","nein"
"251",5500,"control","coupe",2004,"manuell",143,125000,"benzin","nein"
"252",7500,"test","kombi",2006,"manuell",150,150000,"benzin","nein"
"253",5900,"test","kleinwagen",2012,"manuell",60,50000,"benzin","nein"
"254",2100,"test","kleinwagen",2002,"automatik",75,150000,"benzin","nein"
"255",21900,"control","limousine",2009,"automatik",408,150000,"benzin","nein"
"256",2200,"control","kombi",2000,"manuell",129,150000,"benzin","nein"
"257",2990,"control","kombi",2006,"manuell",101,150000,"diesel","nein"
"258",4500,"control","suv",2004,"manuell",109,150000,"diesel","nein"
"259",5900,"control","limousine",2004,"automatik",204,150000,"diesel","nein"
"260",18800,"control","bus",2006,"manuell",174,150000,"diesel","nein"
"261",1500,"test","kombi",2006,"manuell",136,150000,"diesel","ja"
"262",650,"test","kleinwagen",2002,"manuell",50,125000,"benzin","nein"
"263",1100,"test","kleinwagen",2006,"manuell",75,150000,"benzin","ja"
"264",2800,"test","suv",2002,"automatik",140,150000,"diesel","nein"
"265",5900,"test","limousine",2008,"manuell",86,60000,"benzin","nein"
"266",1480,"test","limousine",2001,"automatik",131,150000,"diesel","nein"
"267",7200,"control","kleinwagen",2008,"manuell",105,80000,"benzin","nein"
"268",1300,"test","coupe",2005,"manuell",192,125000,"benzin","ja"
"269",4000,"control","bus",2005,"manuell",140,150000,"diesel","nein"
"270",12990,"control","suv",2009,"manuell",150,80000,"benzin","nein"
